name,date,slice_s_idx,slice_e_idx,start_time,end_time,ellipse_d_max,Euclidean_d_max,Feret_d_max,area,perimeter,circularity,probe,first_diode_trunc,last_diode_trunc,image_trunc,aspect_ratio,wind_w,pres,alt,temp,LWC,IWC
94298_19ch0,220719,94298,94332,18:53:04.977000000,18:53:04.977000000,349.71013268462286,392.0459156782532,402.2437072223753,71300.0,1454.3250352560271,2.360606326353824,ch0,25,0,0,1.2191606231977743,-2.0431948,400.87717,7644.9404,257.9089,0.032682706,0.076399386
94298_19ch0,220719,94298,94311,18:53:04.977000000,18:53:04.977000000,146.83957778888205,130.0,140.356688476182,4400.0,313.1370849898476,1.773399036876014,ch0,0,0,0,3.089049343690294,-2.0431948,400.87717,7644.9404,257.9089,0.032682706,0.076399386
226470_19ch0,220719,226470,226482,18:56:50.694000000,18:56:50.694000000,152.27258237874855,126.49110640673518,143.17821063276352,4200.0,315.2081528017131,1.882503227249908,ch0,0,0,0,3.395385204319324,-2.7623172,388.69946,7885.331,255.70236,0.16222349,0.33487892
226470_19ch0,220719,226470,226483,18:56:50.694000000,18:56:50.694000000,174.59071194603266,172.04650534085255,186.0107523773828,13000.0,652.4873734152916,2.606099586878622,ch0,0,0,0,1.5339494515902643,-2.7623172,388.69946,7885.331,255.70236,0.16222349,0.33487892
230869_19ch0,220719,230869,230879,18:56:50.772000000,18:56:50.772000000,135.55636671414564,144.22205101855957,152.64337522473747,8000.0,483.492424049175,2.3253026996298343,ch0,0,0,0,1.2634122056003771,-2.7623172,388.69946,7885.331,255.70236,0.186962,0.44295257
230869_19ch0,220719,230869,230879,18:56:50.772000000,18:56:50.772000000,127.33188760662344,116.619037896906,125.29964086141668,6300.0,403.8477631085024,2.0600840986667004,ch0,0,0,0,1.422839271029916,-2.7623172,388.69946,7885.331,255.70236,0.186962,0.44295257
235921_19ch0,220719,235921,235938,18:56:50.866000000,18:56:50.866000000,349.76717593686857,317.8049716414141,327.56678708318395,28600.0,1188.7615433949868,3.932000796728943,ch0,0,4,0,2.3070644905840823,-2.7623172,388.69946,7885.331,255.70236,0.20870729,0.28334114
235921_19ch0,220719,235921,235926,18:56:50.866000000,18:56:50.866000000,101.87979356177608,100.0,110.4536101718726,2800.0,216.5685424949238,1.3329776022766653,ch0,0,1,0,1.968843107087373,-2.7623172,388.69946,7885.331,255.70236,0.20870729,0.28334114
249985_19ch0,220719,249985,249995,18:56:51.256000000,18:56:51.256000000,137.6088385861642,114.0175425099138,130.384048104053,4100.0,281.4213562373095,1.5371646292120489,ch0,0,0,0,3.407774722095797,-2.7623172,388.69946,7885.331,255.70236,0.3099839,0.23613556
249985_19ch0,220719,249985,250002,18:56:51.256000000,18:56:51.256000000,253.8874809019182,245.15301344262525,259.6150997149434,29400.0,1078.4062043356594,3.1478031176103323,ch0,0,0,0,1.4658876142843076,-2.7623172,388.69946,7885.331,255.70236,0.3099839,0.23613556
