image_name,number_label,note
1697685_23ch1,1,
669294_20ch0,1,
601343_19ch0,1,
18058_26ch1,1,
1261837_25ch0,3,
484599_25ch0,2,
1435287_23ch0,1,
1710083_20ch0,1,
2586247_25ch1,1,
299315_20ch0,1,
1264837_25ch1,6,
2673727_25ch1,3,
1625905_20ch1,1,
2163756_19ch0,1,
400075_23ch1,1,
241475_19ch1,4,
802381_19ch0,1,
752849_19ch0,1,
2357696_19ch0,1,
1317660_23ch0,0,
1700117_23ch0,1,
2391188_19ch1,1,
669351_23ch1,1,
648402_19ch0,1,
1978792_20ch1,1,
837829_23ch0,1,
2143096_25ch1,2,
2013388_23ch1,2,
1803388_25ch1,1,
1615270_20ch1,1,
164188_19ch1,1,
1363150_23ch0,1,
970574_19ch1,2,
372597_23ch1,1,
1320454_25ch0,1,
236617_08ch1,4,
171312_19ch0,4,
797650_30ch1,1,
153943_08ch1,1,
2314035_20ch0,1,
1725180_25ch1,3,
257205_19ch1,4,
497978_30ch0,1,
1315360_25ch0,1,
2102932_20ch0,1,
1229405_23ch0,1,
192609_01ch1,1,
263600_27ch0,1,
289226_20ch0,1,
2325603_19ch0,2,
390126_06ch0,1,
78724_20ch0,1,
375692_01ch0,1,
592631_30ch0,1,
743889_23ch1,1,
1039283_25ch0,1,
182643_08ch1,1,
1111578_19ch0,1,
2440775_25ch1,1,
1179227_19ch1,1,
1297577_20ch1,1,
1252282_20ch0,1,
364922_06ch0,1,
1976672_19ch0,1,
1796421_20ch1,0,
1665062_25ch0,0,
1382836_23ch1,1,
1117892_23ch1,1,
168785_02ch0,1,
115887_23ch1,1,
628174_23ch0,1,
1876930_25ch1,2,
1715258_19ch0,1,
1150688_19ch0,1,
910470_25ch1,4,
1567041_23ch0,0,
317780_02ch1,0,
1572204_25ch0,2,
2001841_19ch0,1,
1703324_23ch0,2,
242606_20ch0,1,
393804_06ch0,1,
1316959_25ch0,2,
1069670_19ch1,1,
1585462_23ch1,1,
306222_02ch0,1,
2449471_20ch0,1,
112874_06ch0,1,
223854_01ch0,1,
1076683_23ch0,1,
1124678_25ch1,1,
1098080_25ch0,1,
1815250_25ch1,1,
1402290_25ch1,1,
1953177_23ch1,1,
1759064_19ch0,1,
888793_23ch1,1,
1564832_23ch1,1,
161838_23ch0,1,
1209882_20ch1,1,
2424418_25ch1,1,
482393_25ch0,1,
2476891_20ch0,0,
1235627_19ch1,1,
381912_06ch0,1,
1158786_25ch0,0,
1714700_23ch1,1,
1487732_25ch1,0,
1900218_20ch1,1,
1344402_23ch0,1,
1421726_25ch1,1,
2354160_25ch0,0,
3031_02ch1,1,
8935_06ch1,1,
1340828_19ch0,1,
1598235_23ch0,1,
811271_19ch0,1,
137830_08ch1,1,
2147340_25ch0,1,
197845_08ch0,1,
1113043_25ch0,0,
1598163_19ch0,0,
1112324_23ch0,1,
2251741_20ch1,1,
2180808_25ch1,1,
2130719_25ch0,1,
1152440_23ch0,1,
719744_25ch1,1,
2209886_19ch1,1,
774147_07ch0,1,
1804288_23ch1,6,
1169263_19ch1,1,
1789186_20ch0,3,
1046586_25ch0,2,
1712992_20ch0,1,
550755_25ch0,2,
180965_27ch1,1,
1980348_20ch1,0,
1395069_20ch1,1,
1004692_25ch0,1,
201858_30ch1,1,
273226_23ch1,1,
408207_19ch1,1,
251906_23ch1,1,
157758_08ch0,2,
190579_02ch0,1,
1337402_23ch0,1,
1682388_20ch0,2,
115920_20ch1,1,
2067946_19ch1,1,
2267789_19ch0,0,
735663_30ch1,1,
1171171_19ch0,4,
593088_20ch0,2,
1997039_20ch0,1,
1355677_23ch1,1,
2327297_20ch0,1,
565205_06ch1,3,
1344777_25ch1,1,
246455_19ch1,1,
531731_23ch1,1,
1515538_19ch0,1,
12496_07ch0,1,
418562_06ch0,1,
519167_23ch1,3,
1353664_19ch1,1,
991458_20ch1,1,
720861_25ch0,0,
1824575_20ch1,0,
294797_19ch0,1,
1340658_25ch1,0,
2233333_25ch1,0,
824018_20ch0,1,
1368452_25ch1,3,
1326260_20ch1,1,
634577_30ch1,1,
1094890_25ch0,1,
35412_02ch1,3,
1741062_23ch1,1,
494545_30ch0,1,
683108_20ch0,1,
1674033_25ch0,1,
535105_19ch1,1,
2238103_20ch0,1,
1078660_19ch1,2,
96015_19ch0,0,
2261107_25ch1,1,
2212938_25ch1,1,
