image_name,number_label,2nd_label
1697685_23ch1,1.0,1.0
669294_20ch0,1.0,1.0
601343_19ch0,1.0,1.0
18058_26ch1,1.0,1.0
1261837_25ch0,3.0,
484599_25ch0,2.0,
1435287_23ch0,1.0,1.0
1710083_20ch0,1.0,1.0
2586247_25ch1,1.0,1.0
299315_20ch0,1.0,1.0
1264837_25ch1,2.0,
2673727_25ch1,3.0,
1625905_20ch1,1.0,1.0
2163756_19ch0,1.0,1.0
400075_23ch1,1.0,1.0
241475_19ch1,4.0,
802381_19ch0,1.0,1.0
752849_19ch0,1.0,1.0
2357696_19ch0,1.0,1.0
1317660_23ch0,0.0,
1700117_23ch0,1.0,1.0
2391188_19ch1,1.0,1.0
669351_23ch1,1.0,1.0
648402_19ch0,1.0,1.0
1978792_20ch1,1.0,1.0
837829_23ch0,1.0,1.0
2143096_25ch1,2.0,
2013388_23ch1,2.0,
1803388_25ch1,2.0,
1615270_20ch1,1.0,1.0
164188_19ch1,1.0,1.0
1363150_23ch0,1.0,1.0
970574_19ch1,2.0,
372597_23ch1,1.0,1.0
1320454_25ch0,1.0,1.0
236617_08ch1,4.0,
171312_19ch0,4.0,
797650_30ch1,1.0,1.0
153943_08ch1,1.0,1.0
2314035_20ch0,1.0,1.0
1725180_25ch1,1.0,3.0
257205_19ch1,1.0,4.0
497978_30ch0,1.0,1.0
1315360_25ch0,1.0,1.0
2102932_20ch0,1.0,1.0
1229405_23ch0,1.0,1.0
192609_01ch1,1.0,1.0
263600_27ch0,1.0,1.0
289226_20ch0,1.0,1.0
2325603_19ch0,2.0,
390126_06ch0,1.0,1.0
78724_20ch0,1.0,1.0
375692_01ch0,1.0,1.0
592631_30ch0,1.0,1.0
743889_23ch1,1.0,1.0
1039283_25ch0,1.0,1.0
182643_08ch1,1.0,1.0
1111578_19ch0,1.0,1.0
2440775_25ch1,1.0,1.0
1179227_19ch1,1.0,1.0
1297577_20ch1,1.0,1.0
1252282_20ch0,1.0,1.0
364922_06ch0,1.0,1.0
1976672_19ch0,1.0,1.0
1796421_20ch1,0.0,
1665062_25ch0,0.0,
1382836_23ch1,1.0,1.0
1117892_23ch1,1.0,1.0
168785_02ch0,1.0,1.0
115887_23ch1,1.0,1.0
628174_23ch0,1.0,1.0
1876930_25ch1,2.0,
1715258_19ch0,1.0,1.0
1150688_19ch0,1.0,1.0
910470_25ch1,4.0,
1567041_23ch0,0.0,
317780_02ch1,0.0,
1572204_25ch0,2.0,
2001841_19ch0,1.0,1.0
1703324_23ch0,2.0,
242606_20ch0,1.0,1.0
393804_06ch0,1.0,1.0
1316959_25ch0,2.0,
1069670_19ch1,1.0,1.0
1585462_23ch1,1.0,1.0
306222_02ch0,1.0,1.0
2449471_20ch0,1.0,1.0
112874_06ch0,1.0,1.0
223854_01ch0,1.0,1.0
1076683_23ch0,1.0,1.0
1124678_25ch1,1.0,1.0
